"","data_mes","mutuario_cat","qde","valor_mes","valor_acum"
"1",2016-04-01,"Demais entes",0,0,0
"2",2016-04-01,"Estado do Rio de Janeiro",5,41462227.53,41462227.53
"3",2016-04-01,"Minas Gerais",0,0,0
"4",2016-05-01,"Demais entes",0,0,0
"5",2016-05-01,"Estado do Rio de Janeiro",14,251894616.13,293356843.66
"6",2016-05-01,"Minas Gerais",0,0,0
"7",2016-06-01,"Demais entes",1,2266689.08,2266689.08
"8",2016-06-01,"Estado do Rio de Janeiro",11,241744104.52,535100948.18
"9",2016-06-01,"Minas Gerais",0,0,0
"10",2016-07-01,"Demais entes",3,14924298.99,17190988.07
"11",2016-07-01,"Estado do Rio de Janeiro",9,106886529.67,641987477.85
"12",2016-07-01,"Minas Gerais",0,0,0
"13",2016-08-01,"Demais entes",3,8034799.97,25225788.04
"14",2016-08-01,"Estado do Rio de Janeiro",11,147400145.51,789387623.36
"15",2016-08-01,"Minas Gerais",0,0,0
"16",2016-09-01,"Demais entes",4,115200124.3,140425912.34
"17",2016-09-01,"Estado do Rio de Janeiro",13,259078627.72,1048466251.08
"18",2016-09-01,"Minas Gerais",0,0,0
"19",2016-10-01,"Demais entes",4,7733720.05,148159632.39
"20",2016-10-01,"Estado do Rio de Janeiro",16,384617673.3,1433083924.38
"21",2016-10-01,"Minas Gerais",0,0,0
"22",2016-11-01,"Demais entes",1,2198696.59,150358328.98
"23",2016-11-01,"Estado do Rio de Janeiro",15,416391170.79,1849475095.17
"24",2016-11-01,"Minas Gerais",0,0,0
"25",2016-12-01,"Demais entes",1,2194644.39,152552973.37
"26",2016-12-01,"Estado do Rio de Janeiro",13,467035348.81,2316510443.98
"27",2016-12-01,"Minas Gerais",0,0,0
"28",2017-01-01,"Demais entes",1,2196332.99,154749306.36
"29",2017-01-01,"Estado do Rio de Janeiro",11,265669537.18,2582179981.16
"30",2017-01-01,"Minas Gerais",0,0,0
"31",2017-02-01,"Demais entes",1,2199780.45,156949086.81
"32",2017-02-01,"Estado do Rio de Janeiro",13,176944259.8,2759124240.96
"33",2017-02-01,"Minas Gerais",0,0,0
"34",2017-03-01,"Demais entes",2,4901528.54,161850615.35
"35",2017-03-01,"Estado do Rio de Janeiro",16,283348822.26,3042473063.22
"36",2017-03-01,"Minas Gerais",0,0,0
"37",2017-04-01,"Demais entes",1,2192565.3,164043180.65
"38",2017-04-01,"Estado do Rio de Janeiro",16,252736238.84,3295209302.06
"39",2017-04-01,"Minas Gerais",0,0,0
"40",2017-05-01,"Demais entes",3,7754219.73,171797400.38
"41",2017-05-01,"Estado do Rio de Janeiro",17,359646408.76,3654855710.82
"42",2017-05-01,"Minas Gerais",0,0,0
"43",2017-06-01,"Demais entes",3,7959304.34,179756704.72
"44",2017-06-01,"Estado do Rio de Janeiro",18,629273646.98,4284129357.8
"45",2017-06-01,"Minas Gerais",0,0,0
"46",2017-07-01,"Demais entes",3,7731402.92,187488107.64
"47",2017-07-01,"Estado do Rio de Janeiro",7,112037029.36,4396166387.16
"48",2017-07-01,"Minas Gerais",0,0,0
"49",2017-08-01,"Demais entes",3,7763881.76,195251989.4
"50",2017-08-01,"Estado do Rio de Janeiro",13,177871029.46,4574037416.62
"51",2017-08-01,"Minas Gerais",0,0,0
"52",2017-09-01,"Demais entes",3,7823622.57,203075611.97
"53",2017-09-01,"Estado do Rio de Janeiro",19,366301119.14,4940338535.76
"54",2017-09-01,"Minas Gerais",0,0,0
"55",2017-10-01,"Demais entes",3,7855001.3,210930613.27
"56",2017-10-01,"Estado do Rio de Janeiro",15,355542377.54,5295880913.3
"57",2017-10-01,"Minas Gerais",0,0,0
"58",2017-11-01,"Demais entes",3,8011934.62,218942547.89
"59",2017-11-01,"Estado do Rio de Janeiro",17,399387055.16,5695267968.46
"60",2017-11-01,"Minas Gerais",0,0,0
"61",2017-12-01,"Demais entes",3,7506897.81,226449445.7
"62",2017-12-01,"Estado do Rio de Janeiro",15,552214464.53,6247482432.99
"63",2017-12-01,"Minas Gerais",0,0,0
"64",2018-01-01,"Demais entes",2,4902980,231352425.7
"65",2018-01-01,"Estado do Rio de Janeiro",12,181468043.07,6428950476.06
"66",2018-01-01,"Minas Gerais",0,0,0
"67",2018-02-01,"Demais entes",1,2192501.67,233544927.37
"68",2018-02-01,"Estado do Rio de Janeiro",13,145260671.93,6574211147.99
"69",2018-02-01,"Minas Gerais",0,0,0
"70",2018-03-01,"Demais entes",2,4901983.33,238446910.7
"71",2018-03-01,"Estado do Rio de Janeiro",15,226358214.15,6800569362.14
"72",2018-03-01,"Minas Gerais",0,0,0
"73",2018-04-01,"Demais entes",3,7740023.68,246186934.38
"74",2018-04-01,"Estado do Rio de Janeiro",15,243750092.86,7044319455
"75",2018-04-01,"Minas Gerais",0,0,0
"76",2018-05-01,"Demais entes",3,7583939.5,253770873.88
"77",2018-05-01,"Estado do Rio de Janeiro",16,515539724.12,7559859179.12
"78",2018-05-01,"Minas Gerais",0,0,0
"79",2018-06-01,"Demais entes",2,5533871.93,259304745.81
"80",2018-06-01,"Estado do Rio de Janeiro",13,556847618.51,8116706797.63
"81",2018-06-01,"Minas Gerais",1,417271219.34,417271219.34
"82",2018-07-01,"Demais entes",2,58276368.06,317581113.87
"83",2018-07-01,"Estado do Rio de Janeiro",10,120707036.53,8237413834.16
"84",2018-07-01,"Minas Gerais",1,135883514.13,553154733.47
"85",2018-08-01,"Demais entes",4,110702783.38,428283897.25
"86",2018-08-01,"Estado do Rio de Janeiro",12,154356837.13,8391770671.29
"87",2018-08-01,"Minas Gerais",0,0,553154733.47
"88",2018-09-01,"Demais entes",4,9492086.51,437775983.76
"89",2018-09-01,"Estado do Rio de Janeiro",16,338462599.69,8730233270.98
"90",2018-09-01,"Minas Gerais",0,0,553154733.47
"91",2018-10-01,"Demais entes",4,11162874.64,448938858.4
"92",2018-10-01,"Estado do Rio de Janeiro",16,359669489.24,9089902760.22
"93",2018-10-01,"Minas Gerais",0,0,553154733.47
"94",2018-11-01,"Demais entes",4,11667868.57,460606726.97
"95",2018-11-01,"Estado do Rio de Janeiro",16,576069720.44,9665972480.66
"96",2018-11-01,"Minas Gerais",0,0,553154733.47
"97",2018-12-01,"Demais entes",1,2177595.27,462784322.24
"98",2018-12-01,"Estado do Rio de Janeiro",13,592234942.11,10258207422.77
"99",2018-12-01,"Minas Gerais",1,459301880.46,1012456613.93
"100",2019-01-01,"Demais entes",0,0,462784322.24
"101",2019-01-01,"Estado do Rio de Janeiro",10,113512569,10371719991.77
"102",2019-01-01,"Minas Gerais",1,141868537.26,1154325151.19
"103",2019-02-01,"Demais entes",0,0,462784322.24
"104",2019-02-01,"Estado do Rio de Janeiro",12,161710139.86,10533430131.63
"105",2019-02-01,"Minas Gerais",7,685355385.04,1839680536.23
"106",2019-03-01,"Demais entes",0,0,462784322.24
"107",2019-03-01,"Estado do Rio de Janeiro",15,238689779.03,10772119910.66
"108",2019-03-01,"Minas Gerais",3,75708962.68,1915389498.91
"109",2019-04-01,"Demais entes",1,2294716.27,465079038.51
"110",2019-04-01,"Estado do Rio de Janeiro",15,268745708.33,11040865618.99
"111",2019-04-01,"Minas Gerais",4,198008792.71,2113398291.62
"112",2019-05-01,"Demais entes",2,62749377.2,527828415.71
"113",2019-05-01,"Estado do Rio de Janeiro",16,601040220.27,11641905839.26
"114",2019-05-01,"Minas Gerais",7,44231677.74,2157629969.36
"115",2019-06-01,"Demais entes",9,108233417.96,636061833.67
"116",2019-06-01,"Estado do Rio de Janeiro",13,592955976.09,12234861815.35
"117",2019-06-01,"Minas Gerais",3,520362947.65,2677992917.01
"118",2019-07-01,"Demais entes",9,100124183.72,736186017.39
"119",2019-07-01,"Estado do Rio de Janeiro",10,113813958.24,12348675773.59
"120",2019-07-01,"Minas Gerais",2,141011074.62,2819003991.63
"121",2019-08-01,"Demais entes",12,263296183.26,999482200.65
"122",2019-08-01,"Estado do Rio de Janeiro",12,168751014.42,12517426788.01
"123",2019-08-01,"Minas Gerais",7,206227779.7,3025231771.33
"124",2019-09-01,"Demais entes",11,93858609.88,1093340810.53
"125",2019-09-01,"Estado do Rio de Janeiro",12,245626506.19,12763053294.2
"126",2019-09-01,"Minas Gerais",3,81129345.64,3106361116.97
"127",2019-10-01,"Demais entes",14,116864591.7,1210205402.23
"128",2019-10-01,"Estado do Rio de Janeiro",16,376986839.72,13140040133.92
"129",2019-10-01,"Minas Gerais",4,200085538.07,3306446655.04
"130",2019-11-01,"Demais entes",12,114791553.89,1324996956.12
"131",2019-11-01,"Estado do Rio de Janeiro",16,601517018.99,13741557152.91
"132",2019-11-01,"Minas Gerais",7,43559855.69,3350006510.73
"133",2019-12-01,"Demais entes",13,140951318.91,1465948275.03
"134",2019-12-01,"Estado do Rio de Janeiro",13,559775765.26,14301332918.17
"135",2019-12-01,"Minas Gerais",3,511044503.76,3861051014.49
"136",2020-01-01,"Demais entes",8,94961972.16,1560910247.19
"137",2020-01-01,"Estado do Rio de Janeiro",10,112136415.77,14413469333.94
